Property Type,Property Use,Land Use,Beds,Baths,Rooms Count,Units Count,Stories,Building Size (sqft),Lot Size (sqft),Year Built,Years Owned,Pool,Pool Area,Garage,Basement,Deck,Deck Area,Patio,Patio Area,Air Conditioning,Roof Construction,Roof Material,Estimated Value,Assessed Value,Assessed Land Value,Assessed Improvement Value,Price Per Sqft,Last Sale Date,Last Sale Amount,Last Sale Arms Length,Prior Sale Amount,Recording Date,Document Type,Last Update Date,Cash Buyer,Investor Buyer,Flood Zone
SFR,Single Family Residence,Residential,3.0,2.0,5,0,1.5,1464.0,2565,1908.0,17.0,No,0,No,No,No,0,No,0,No,,,950000,422533,126760,295773,230,2007-09-24,336000,Yes,543809.0,2007-09-24,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,1.0,1117.0,3600,1924.0,12.0,No,0,No,No,No,0,No,0,No,,,546000,360533,108160,252373,269,2013-07-15,300000,Yes,131000.0,2013-07-15,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,7,0,1.0,1982.0,9900,1971.0,1.0,No,0,No,No,No,0,No,0,No,,,1380000,1071735,321520,750215,631,2024-05-10,1250000,Yes,0.0,2024-05-10,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,1.0,1.0,3,0,1.0,576.0,2500,1920.0,17.0,No,0,No,No,No,0,No,0,No,,,396000,233548,70064,163484,0,2008-07-02,0,Yes,0.0,2008-07-02,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,2.0,6,0,1.5,1668.0,5757,1937.0,1.0,No,0,No,No,No,0,No,0,No,,,1315174,1315174,394887,920287,0,2024-07-24,0,No,1179000.0,2024-07-24,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,4.0,2.0,8,0,1.5,3214.0,5750,1925.0,1.0,No,0,No,No,No,0,No,0,No,,,1008140,1008140,302442,705698,0,2024-04-16,0,No,0.0,2024-04-16,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,1.0,1.0,3,0,1.0,740.0,4352,1912.0,18.0,No,0,No,No,No,0,No,0,No,,,691000,589724,176917,412807,607,2006-12-27,449000,Yes,389000.0,2006-12-27,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,2.0,1.0,5,0,2.0,1178.0,3977,1913.0,7.0,No,0,No,No,No,0,No,0,No,,,1040400,1040400,312120,728280,0,2018-05-14,0,No,0.0,2018-05-14,Intrafamily Transfer,2025-07-23 00:00:00 UTC,No,Yes,Yes
SFR,Single Family Residence,Residential,3.0,2.0,5,0,1.0,1268.0,4290,1915.0,1.0,No,0,No,No,No,0,No,0,No,,,752000,610180,140454,469726,631,2024-07-22,800000,Yes,0.0,2024-07-22,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,3.0,2.0,7,0,2.0,1976.0,6254,1969.0,2.0,No,0,No,No,No,0,No,0,No,,,1388000,1193400,358020,835380,592,2023-05-02,1170000,Yes,190000.0,2023-05-02,Grant Deed,2025-07-23 00:00:00 UTC,No,No,Yes
SFR,Single Family Residence,Residential,1.0,1.0,4,0,1.0,848.0,1550,1926.0,6.0,No,0,No,No,No,0,No,0,No,,,488000,240355,72106,168249,0,2018-08-24,0,No,135000.0,2018-08-24,Intrafamily Transfer,2025-07-23 00:00:00 UTC,Yes,No,Yes
